prePaidFee,initialCapital,daysUntilPaid,nonFeelessPaid
25,800000000000000000,897,991100000000000000
250,800000000000000000,2068,1139600000000000000
25,800000000000000000,3523,1552700000000000000
25,800000000000000000,3167,1476260000000000000
250,800000000000000000,3539,1381400000000000000
25,800000000000000000,1856,1196240000000000000
25,800000000000000000,3525,1552700000000000000
25,800000000000000000,1852,1195460000000000000
25,800000000000000000,2431,1319480000000000000
250,800000000000000000,1987,1126400000000000000
250,800000000000000000,3082,1306400000000000000
25,800000000000000000,2661,1368620000000000000
250,800000000000000000,3162,1319600000000000000
250,800000000000000000,3642,1398200000000000000
25,800000000000000000,2462,1325720000000000000
250,800000000000000000,2154,1154000000000000000
25,800000000000000000,3391,1524620000000000000
250,800000000000000000,2426,1198400000000000000
250,800000000000000000,2026,1133000000000000000
25,800000000000000000,3424,1531640000000000000
25,800000000000000000,1378,1094060000000000000
250,800000000000000000,2362,1188200000000000000
25,800000000000000000,763,963020000000000000
25,800000000000000000,1885,1202480000000000000
250,800000000000000000,2217,1164200000000000000
25,800000000000000000,298,863180000000000000
25,800000000000000000,1410,1101080000000000000
25,800000000000000000,235,849920000000000000
25,800000000000000000,3361,1517600000000000000
250,800000000000000000,3434,1364000000000000000
250,800000000000000000,3013,1295000000000000000
250,800000000000000000,2676,1239800000000000000
25,800000000000000000,730,956000000000000000
250,800000000000000000,2505,1211600000000000000
25,800000000000000000,1048,1023860000000000000
25,800000000000000000,2273,1285160000000000000
25,800000000000000000,1327,1083140000000000000
250,800000000000000000,2714,1245800000000000000
250,800000000000000000,2378,1190600000000000000
25,800000000000000000,1818,1188440000000000000
25,800000000000000000,2212,1272680000000000000
25,800000000000000000,470,899840000000000000
25,800000000000000000,1818,1188440000000000000
250,800000000000000000,2383,1191200000000000000
250,800000000000000000,3648,1399400000000000000
25,800000000000000000,687,946640000000000000
250,800000000000000000,2961,1286600000000000000
25,800000000000000000,3111,1464560000000000000
250,800000000000000000,3308,1343600000000000000
25,800000000000000000,2474,1328060000000000000
25,800000000000000000,851,981740000000000000
250,800000000000000000,3613,1393400000000000000
25,800000000000000000,495,905300000000000000
25,800000000000000000,839,978620000000000000
25,800000000000000000,2637,1363160000000000000
25,800000000000000000,2030,1233680000000000000
25,800000000000000000,850,980960000000000000
25,800000000000000000,962,1005140000000000000
25,800000000000000000,2048,1237580000000000000
250,800000000000000000,3429,1363400000000000000
25,800000000000000000,2398,1311680000000000000
250,800000000000000000,3526,1379600000000000000
25,800000000000000000,2546,1343660000000000000
25,800000000000000000,3648,1579220000000000000
250,800000000000000000,2886,1274000000000000000
250,800000000000000000,3390,1356800000000000000
25,800000000000000000,940,1000460000000000000
25,800000000000000000,1136,1042580000000000000
25,800000000000000000,2330,1297640000000000000
25,800000000000000000,491,904520000000000000
25,800000000000000000,2874,1413860000000000000
25,800000000000000000,1764,1176740000000000000
25,800000000000000000,3251,1494200000000000000
250,800000000000000000,2642,1233800000000000000
25,800000000000000000,323,868640000000000000
25,800000000000000000,2307,1292960000000000000
25,800000000000000000,1409,1101080000000000000
250,800000000000000000,2288,1175600000000000000
25,800000000000000000,2052,1238360000000000000
250,800000000000000000,2840,1266800000000000000
25,800000000000000000,3192,1481720000000000000
250,800000000000000000,3415,1361000000000000000
250,800000000000000000,1826,1100000000000000000
250,800000000000000000,2053,1137200000000000000
25,800000000000000000,3017,1444280000000000000
25,800000000000000000,3332,1511360000000000000
25,800000000000000000,2033,1233680000000000000
25,800000000000000000,1235,1063640000000000000
25,800000000000000000,193,840560000000000000
25,800000000000000000,3068,1455200000000000000
25,800000000000000000,1589,1139300000000000000
250,800000000000000000,3313,1344200000000000000
25,800000000000000000,961,1005140000000000000
25,800000000000000000,3540,1555820000000000000
250,800000000000000000,2671,1238600000000000000
25,800000000000000000,2449,1322600000000000000
25,800000000000000000,2713,1379540000000000000
25,800000000000000000,1607,1143200000000000000
25,800000000000000000,1036,1020740000000000000
250,800000000000000000,2240,1167800000000000000
25,800000000000000000,1898,1205600000000000000
250,800000000000000000,2513,1212800000000000000
25,800000000000000000,2323,1296080000000000000
25,800000000000000000,2354,1302320000000000000
250,800000000000000000,2357,1187000000000000000
250,800000000000000000,3649,1399400000000000000
250,800000000000000000,2058,1137800000000000000
25,800000000000000000,325,869420000000000000
25,800000000000000000,390,882680000000000000
25,800000000000000000,1163,1048040000000000000
25,800000000000000000,1559,1133060000000000000
250,800000000000000000,3110,1311200000000000000
25,800000000000000000,2729,1382660000000000000
25,800000000000000000,3251,1494200000000000000
25,800000000000000000,706,950540000000000000
250,800000000000000000,3648,1399400000000000000
